fiscal_year,rev_exp,category,subcategory,amount
2011,EXPENDITURES,Public Works and Utilities,Solid Waste Management,5695633
2011,EXPENDITURES,Public Works and Utilities,Recycling,1186760
2011,EXPENDITURES,Public Works and Utilities,Yard Waste,
2012,REVENUES,Ad Valorem Taxes,Current Year Ad Valorem Taxes,69210895
2012,REVENUES,Ad Valorem Taxes,Prior Year Ad Valorem Taxes,947603
2012,REVENUES,Ad Valorem Taxes,Penalties and Interest,153580
2012,REVENUES,Other Taxes & Licenses,ABC Revenue,521915
2012,REVENUES,Other Taxes & Licenses,1 Cent Sales Tax-Article 39,10410809
2012,REVENUES,Other Taxes & Licenses,1/2 Cent Sales Tax-Articles 40 & 42,9272949
2012,REVENUES,Other Taxes & Licenses,Article 44 Hold Harmless,3051347
2012,REVENUES,Other Taxes & Licenses,Privilege Licenses,1623016
2012,REVENUES,Other Taxes & Licenses,Occupancy Tax,786849
2012,REVENUES,Other Taxes & Licenses,Licenses,5765
2012,REVENUES,Other Taxes & Licenses,Rental Vehicle Tax,80841
2012,REVENUES,Intergovernmental,Utility Franchise Taxes,4169777
2012,REVENUES,Intergovernmental,Wine and Beer Tax,596030
2012,REVENUES,Intergovernmental,Telecommunications Sales Tax,1685119
2012,REVENUES,Intergovernmental,Gov's Hwy Program Grant,161695
2012,REVENUES,Intergovernmental,High School Resource Officer Reimb.,151352
2012,REVENUES,Intergovernmental,Other Restricted/Grants,640336
2012,REVENUES,Permits and Fees,Building Permits,2281809
2012,REVENUES,Permits and Fees,Pavement/Curb Cuts,12330
2012,REVENUES,Permits and Fees,Rezoning/Var. Request Fees,19950
2012,REVENUES,Permits and Fees,Site/Final Plan Review Fees,103380
2012,REVENUES,Permits and Fees,Inspection Fees,416979
2012,REVENUES,Permits and Fees,Sign Permits,21400
2012,REVENUES,Permits and Fees,Fire Permits,43999
2012,REVENUES,Permits and Fees,Watershed Maint. Fees,125323
2012,REVENUES,Permits and Fees,Traffic Impact Analysis Reimb.,247566
2012,REVENUES,Permits and Fees,Cell Tower Study Fees,
2012,REVENUES,Permits and Fees,Grading Permits,115490
2012,REVENUES,Sales and Service,Solid Waste and Recycling,7270060
2012,REVENUES,Sales and Service,Used Appliance Disposal,24963
2012,REVENUES,Sales and Service,Recreation Program Fees,997868
2012,REVENUES,Sales and Service,Recreation Retail Sales,33692
2012,REVENUES,Sales and Service,Dog Park,35613
2012,REVENUES,Sales and Service,Skate Park,158761
2012,REVENUES,Sales and Service,Ticket Sales,115
2012,REVENUES,Sales and Service,Athletic Fees,880274
2012,REVENUES,Sales and Service,USA Baseball,444100
2012,REVENUES,Sales and Service,Tennis,1381023
2012,REVENUES,Sales and Service,Arts & Crafts,67039
2012,REVENUES,Sales and Service,Wake Med Soccer Park,518638
2012,REVENUES,Sales and Service,Cary Arts Center,505969
2012,REVENUES,Sales and Service,Cary Theater,
2012,REVENUES,Sales and Service,Downtown Special Events,
2012,REVENUES,Sales and Service,Festivals,104848
2012,REVENUES,Sales and Service,Teen Council,
2012,REVENUES,Sales and Service,Recreational Facility Rentals,293495
2012,REVENUES,Sales and Service,Cultural Arts Rentals,39326
2012,REVENUES,Sales and Service,Rents-Fire,120736
2012,REVENUES,Sales and Service,Hazardous Waste Reimb.,927
2012,REVENUES,Investment Earnings,Unrealized Gains/Losses,"(231,399)"
2012,REVENUES,Investment Earnings,Net Investment Earnings,469108
2012,REVENUES,Miscellaneous,Miscellaneous Revenues,589598
2012,REVENUES,Miscellaneous,Landfill Excise Tax,92996
2012,REVENUES,Miscellaneous,Video Programming Sales Tax,904640
2012,REVENUES,Miscellaneous,PEG Channel Distribution,32721
2012,REVENUES,Miscellaneous,Court Costs,27374
2012,REVENUES,Miscellaneous,Donations / Contributions,63485
2012,REVENUES,Miscellaneous,Recycled Goods,347893
2012,REVENUES,Miscellaneous,Disposable Rebate,478617
2012,REVENUES,Miscellaneous,Police Reports/Fines,
2012,REVENUES,Miscellaneous,Red Light Ticket,14875
2012,REVENUES,Miscellaneous,Cellular Tower Lease Proceeds,757441
2012,REVENUES,Miscellaneous,Morrisville Reimbursement,2808
2012,REVENUES,Miscellaneous,NCDOT Traffic Signal Reimbursement,1076186
2012,REVENUES,Miscellaneous,NCDOT / Amtrak Depot Lease,61308
2012,EXPENDITURES,General Government,Legislative-Town Council,671551
2012,EXPENDITURES,General Government,Legislative-Boards & Comm.,145465
2012,EXPENDITURES,General Government,Legislative-Town Clerk,417847
2012,EXPENDITURES,General Government,Legislative-Legal,1428789
2012,EXPENDITURES,General Government,Town Manager's Office,790167
2012,EXPENDITURES,General Government,Sustainability Office,172007
2012,EXPENDITURES,General Government,Budget Office,594944
2012,EXPENDITURES,General Government,Public Information Office,634641
2012,EXPENDITURES,General Government,Finance-Accounting,2180264
2012,EXPENDITURES,General Government,Finance-Purchasing,923526
2012,EXPENDITURES,General Government,Self Insurance (Small Claims),276499
2012,EXPENDITURES,General Government,Technology Services Capital Leases,1261901
2012,EXPENDITURES,General Government,Capital Lease Proceeds (contra exp),-1261901
2012,EXPENDITURES,General Government,Technology Services,5520953
2012,EXPENDITURES,General Government,Less Reimb. from Soccer Park,-7218
2012,EXPENDITURES,General Government,Human Resources,1493516
2012,EXPENDITURES,General Government,Self Insurance (Workman's Comp),1586970
2012,EXPENDITURES,Development,Planning,2431534
2012,EXPENDITURES,Development,Affordable/Empl Housing Fund,223824
2012,EXPENDITURES,Development,Development Support,
2012,EXPENDITURES,Development,Inspections & Permits,3871712
2012,EXPENDITURES,Infrastructure,Transportation and Facilities,
2012,EXPENDITURES,Infrastructure,Water Resources - Infratructure,
2012,EXPENDITURES,Infrastructure,Engineering,6384437
2012,EXPENDITURES,Infrastructure,WWRWMF Costs,-93764
2012,EXPENDITURES,Infrastructure,Reimb. from Utility Fund,-2540910
2012,EXPENDITURES,Public Safety,Police,21659535
2012,EXPENDITURES,Public Safety,Less Reimb. from Downtown Ops,
2012,EXPENDITURES,Public Safety,Police Separation Fund,282466
2012,EXPENDITURES,Public Safety,Fire,17872391
2012,EXPENDITURES,PRCR,Administration,1681485
2012,EXPENDITURES,PRCR,Recreation Programs,2894006
2012,EXPENDITURES,PRCR,Cultural Arts,982319
2012,EXPENDITURES,PRCR,Festival,61722
2012,EXPENDITURES,PRCR,Teen Council,
2012,EXPENDITURES,PRCR,Amphitheatre,251060
2012,EXPENDITURES,PRCR,Cary Arts Center,1354772
2012,EXPENDITURES,PRCR,Cary Theater,
2012,EXPENDITURES,PRCR,Downtown Special Events,
2012,EXPENDITURES,PRCR,Tennis Center,1643885
2012,EXPENDITURES,PRCR,Soccer Park,894612
2012,EXPENDITURES,PRCR,Skate Park,249119
2012,EXPENDITURES,PRCR,USA Baseball,794268
2012,EXPENDITURES,PRCR,Athletics,1479521
2012,EXPENDITURES,Public Works and Utilities,Administration,1944323
2012,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,-1287645
2012,EXPENDITURES,Public Works and Utilities,Facilities Management,14556443
2012,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,
2012,EXPENDITURES,Public Works and Utilities,Less Reimb. from Amphitheatre,-265665
2012,EXPENDITURES,Public Works and Utilities,Less Reimb. from Downtown Ops,-131540
2012,EXPENDITURES,Public Works and Utilities,Less Reimb. from Tennis,-211350
2012,EXPENDITURES,Public Works and Utilities,Less Reimb. from Skate Park,-6643
2012,EXPENDITURES,Public Works and Utilities,Less Reimb. from Soccer Park,-578858
2012,EXPENDITURES,Public Works and Utilities,Less Reimb. from USA Baseball,-498912
2012,EXPENDITURES,Public Works and Utilities,Operations,12571573
2012,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,-7823373
2012,EXPENDITURES,Public Works and Utilities,Solid Waste Management,5678569
2012,EXPENDITURES,Public Works and Utilities,Recycling,1301520
2012,EXPENDITURES,Public Works and Utilities,Yard Waste,
2013,REVENUES,Ad Valorem Taxes,Current Year Ad Valorem Taxes,70579959
2013,REVENUES,Ad Valorem Taxes,Prior Year Ad Valorem Taxes,396796
2013,REVENUES,Ad Valorem Taxes,Penalties and Interest,121219
2013,REVENUES,Other Taxes & Licenses,ABC Revenue,640463
2013,REVENUES,Other Taxes & Licenses,1 Cent Sales Tax-Article 39,11054437
2013,REVENUES,Other Taxes & Licenses,1/2 Cent Sales Tax-Articles 40 & 42,9794312
2013,REVENUES,Other Taxes & Licenses,Article 44 Hold Harmless,3160215
2013,REVENUES,Other Taxes & Licenses,Privilege Licenses,1671965
2013,REVENUES,Other Taxes & Licenses,Occupancy Tax,838514
2013,REVENUES,Other Taxes & Licenses,Licenses,6495
2013,REVENUES,Other Taxes & Licenses,Rental Vehicle Tax,80959
2013,REVENUES,Intergovernmental,Utility Franchise Taxes,4381649
2013,REVENUES,Intergovernmental,Wine and Beer Tax,561903
2013,REVENUES,Intergovernmental,Telecommunications Sales Tax,1584292
2013,REVENUES,Intergovernmental,Gov's Hwy Program Grant,103073
2013,REVENUES,Intergovernmental,High School Resource Officer Reimb.,151352
2013,REVENUES,Intergovernmental,Other Restricted/Grants,146728
2013,REVENUES,Permits and Fees,Building Permits,2928378
2013,REVENUES,Permits and Fees,Pavement/Curb Cuts,8287
2013,REVENUES,Permits and Fees,Rezoning/Var. Request Fees,29300
2013,REVENUES,Permits and Fees,Site/Final Plan Review Fees,157700
2013,REVENUES,Permits and Fees,Inspection Fees,547309
2013,REVENUES,Permits and Fees,Sign Permits,22025
2013,REVENUES,Permits and Fees,Fire Permits,40127
2013,REVENUES,Permits and Fees,Watershed Maint. Fees,336560
2013,REVENUES,Permits and Fees,Traffic Impact Analysis Reimb.,336199
2013,REVENUES,Permits and Fees,Cell Tower Study Fees,
2013,REVENUES,Permits and Fees,Grading Permits,197705
2013,REVENUES,Sales and Service,Solid Waste and Recycling,7206919
2013,REVENUES,Sales and Service,Used Appliance Disposal,25148
2013,REVENUES,Sales and Service,Recreation Program Fees,1052009
2013,REVENUES,Sales and Service,Recreation Retail Sales,32117
2013,REVENUES,Sales and Service,Dog Park,32476
2013,REVENUES,Sales and Service,Skate Park,148045
2013,REVENUES,Sales and Service,Ticket Sales,140
2013,REVENUES,Sales and Service,Athletic Fees,859838
2013,REVENUES,Sales and Service,USA Baseball,485393
2013,REVENUES,Sales and Service,Tennis,1319859
2013,REVENUES,Sales and Service,Arts & Crafts,75045
2013,REVENUES,Sales and Service,Wake Med Soccer Park,497493
2013,REVENUES,Sales and Service,Cary Arts Center,585392
2013,REVENUES,Sales and Service,Cary Theater,
2013,REVENUES,Sales and Service,Downtown Special Events,5457
2013,REVENUES,Sales and Service,Festivals,141249
2013,REVENUES,Sales and Service,Teen Council,25330
2013,REVENUES,Sales and Service,Recreational Facility Rentals,277979
2013,REVENUES,Sales and Service,Cultural Arts Rentals,35634
2013,REVENUES,Sales and Service,Rents-Fire,168181
2013,REVENUES,Sales and Service,Hazardous Waste Reimb.,6003
2013,REVENUES,Investment Earnings,Unrealized Gains/Losses,"(245,804)"
2013,REVENUES,Investment Earnings,Net Investment Earnings,211791
2013,REVENUES,Miscellaneous,Miscellaneous Revenues,551804
2013,REVENUES,Miscellaneous,Landfill Excise Tax,78395
2013,REVENUES,Miscellaneous,Video Programming Sales Tax,930905
2013,REVENUES,Miscellaneous,PEG Channel Distribution,31409
2013,REVENUES,Miscellaneous,Court Costs,28657
2013,REVENUES,Miscellaneous,Donations / Contributions,151904
2013,REVENUES,Miscellaneous,Recycled Goods,208343
2013,REVENUES,Miscellaneous,Disposable Rebate,388004
2013,REVENUES,Miscellaneous,Police Reports/Fines,
2013,REVENUES,Miscellaneous,Red Light Ticket,1498
2013,REVENUES,Miscellaneous,Cellular Tower Lease Proceeds,952617
2013,REVENUES,Miscellaneous,Morrisville Reimbursement,3863
2013,REVENUES,Miscellaneous,NCDOT Traffic Signal Reimbursement,958880
2013,REVENUES,Miscellaneous,NCDOT / Amtrak Depot Lease,65042
2013,EXPENDITURES,General Government,Legislative-Town Council,669775
2013,EXPENDITURES,General Government,Legislative-Boards & Comm.,141870
2013,EXPENDITURES,General Government,Legislative-Town Clerk,328740
2013,EXPENDITURES,General Government,Legislative-Legal,1367904
2013,EXPENDITURES,General Government,Town Manager's Office,789555
2013,EXPENDITURES,General Government,Sustainability Office,120484
2013,EXPENDITURES,General Government,Budget Office,653574
2013,EXPENDITURES,General Government,Public Information Office,621254
2013,EXPENDITURES,General Government,Finance-Accounting,2287541
2013,EXPENDITURES,General Government,Finance-Purchasing,872914
2013,EXPENDITURES,General Government,Self Insurance (Small Claims),124563
2013,EXPENDITURES,General Government,Technology Services Capital Leases,636858
2013,EXPENDITURES,General Government,Capital Lease Proceeds (contra exp),-636858
2013,EXPENDITURES,General Government,Technology Services,5740562
2013,EXPENDITURES,General Government,Less Reimb. from Soccer Park,-7218
2013,EXPENDITURES,General Government,Human Resources,1455683
2013,EXPENDITURES,General Government,Self Insurance (Workman's Comp),1355617
2013,EXPENDITURES,Development,Planning,2811612
2013,EXPENDITURES,Development,Affordable/Empl Housing Fund,274326
2013,EXPENDITURES,Development,Development Support,
2013,EXPENDITURES,Development,Inspections & Permits,3825614
2013,EXPENDITURES,Infrastructure,Transportation and Facilities,
2013,EXPENDITURES,Infrastructure,Water Resources - Infratructure,
2013,EXPENDITURES,Infrastructure,Engineering,6745183
2013,EXPENDITURES,Infrastructure,WWRWMF Costs,-226205
2013,EXPENDITURES,Infrastructure,Reimb. from Utility Fund,-2462826
2013,EXPENDITURES,Public Safety,Police,21159738
2013,EXPENDITURES,Public Safety,Less Reimb. from Downtown Ops,-8845
2013,EXPENDITURES,Public Safety,Police Separation Fund,300000
2013,EXPENDITURES,Public Safety,Fire,19101058
2013,EXPENDITURES,PRCR,Administration,1549351
2013,EXPENDITURES,PRCR,Recreation Programs,2911481
2013,EXPENDITURES,PRCR,Cultural Arts,968778
2013,EXPENDITURES,PRCR,Festival,125218
2013,EXPENDITURES,PRCR,Teen Council,3777
2013,EXPENDITURES,PRCR,Amphitheatre,588858
2013,EXPENDITURES,PRCR,Cary Arts Center,1516532
2013,EXPENDITURES,PRCR,Cary Theater,95
2013,EXPENDITURES,PRCR,Downtown Special Events,99047
2013,EXPENDITURES,PRCR,Tennis Center,1512665
2013,EXPENDITURES,PRCR,Soccer Park,970975
2013,EXPENDITURES,PRCR,Skate Park,268500
2013,EXPENDITURES,PRCR,USA Baseball,766435
2013,EXPENDITURES,PRCR,Athletics,1550123
2013,EXPENDITURES,Public Works and Utilities,Administration,2215596
2013,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,-1471233
2013,EXPENDITURES,Public Works and Utilities,Facilities Management,14746796
2013,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,
2013,EXPENDITURES,Public Works and Utilities,Less Reimb. from Amphitheatre,-344891
2013,EXPENDITURES,Public Works and Utilities,Less Reimb. from Downtown Ops,-201792
2013,EXPENDITURES,Public Works and Utilities,Less Reimb. from Tennis,-144585
2013,EXPENDITURES,Public Works and Utilities,Less Reimb. from Skate Park,-30783
2013,EXPENDITURES,Public Works and Utilities,Less Reimb. from Soccer Park,-647029
2013,EXPENDITURES,Public Works and Utilities,Less Reimb. from USA Baseball,-464604
2013,EXPENDITURES,Public Works and Utilities,Operations,12386718
2013,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,-7627218
2013,EXPENDITURES,Public Works and Utilities,Solid Waste Management,6009383
2013,EXPENDITURES,Public Works and Utilities,Recycling,1407245
2013,EXPENDITURES,Public Works and Utilities,Yard Waste,0
2014,REVENUES,Ad Valorem Taxes,Current Year Ad Valorem Taxes,78299089
2014,REVENUES,Ad Valorem Taxes,Prior Year Ad Valorem Taxes,150000
2014,REVENUES,Ad Valorem Taxes,Penalties and Interest,65000
2014,REVENUES,Other Taxes & Licenses,ABC Revenue,632787
2014,REVENUES,Other Taxes & Licenses,1 Cent Sales Tax-Article 39,11861282
2014,REVENUES,Other Taxes & Licenses,1/2 Cent Sales Tax-Articles 40 & 42,10445855
2014,REVENUES,Other Taxes & Licenses,Article 44 Hold Harmless,3281286
2014,REVENUES,Other Taxes & Licenses,Privilege Licenses,1646011
2014,REVENUES,Other Taxes & Licenses,Occupancy Tax,875027
2014,REVENUES,Other Taxes & Licenses,Licenses,6851
2014,REVENUES,Other Taxes & Licenses,Rental Vehicle Tax,84990
2014,REVENUES,Intergovernmental,Utility Franchise Taxes,4547763
2014,REVENUES,Intergovernmental,Wine and Beer Tax,584379
2014,REVENUES,Intergovernmental,Telecommunications Sales Tax,1487186
2014,REVENUES,Intergovernmental,Gov's Hwy Program Grant,87705
2014,REVENUES,Intergovernmental,High School Resource Officer Reimb.,151352
2014,REVENUES,Intergovernmental,Other Restricted/Grants,
2014,REVENUES,Permits and Fees,Building Permits,3200000
2014,REVENUES,Permits and Fees,Pavement/Curb Cuts,15928
2014,REVENUES,Permits and Fees,Rezoning/Var. Request Fees,44000
2014,REVENUES,Permits and Fees,Site/Final Plan Review Fees,151738
2014,REVENUES,Permits and Fees,Inspection Fees,609465
2014,REVENUES,Permits and Fees,Sign Permits,28000
2014,REVENUES,Permits and Fees,Fire Permits,53000
2014,REVENUES,Permits and Fees,Watershed Maint. Fees,420000
2014,REVENUES,Permits and Fees,Traffic Impact Analysis Reimb.,234000
2014,REVENUES,Permits and Fees,Cell Tower Study Fees,
2014,REVENUES,Permits and Fees,Grading Permits,260000
2014,REVENUES,Sales and Service,Solid Waste and Recycling,7930735
2014,REVENUES,Sales and Service,Used Appliance Disposal,37713
2014,REVENUES,Sales and Service,Recreation Program Fees,1080000
2014,REVENUES,Sales and Service,Recreation Retail Sales,23000
2014,REVENUES,Sales and Service,Dog Park,28000
2014,REVENUES,Sales and Service,Skate Park,125000
2014,REVENUES,Sales and Service,Ticket Sales,
2014,REVENUES,Sales and Service,Athletic Fees,875000
2014,REVENUES,Sales and Service,USA Baseball,483800
2014,REVENUES,Sales and Service,Tennis,1400672
2014,REVENUES,Sales and Service,Arts & Crafts,73500
2014,REVENUES,Sales and Service,Wake Med Soccer Park,618385
2014,REVENUES,Sales and Service,Cary Arts Center,686688
2014,REVENUES,Sales and Service,Cary Theater,42000
2014,REVENUES,Sales and Service,Downtown Special Events,6474
2014,REVENUES,Sales and Service,Festivals,149505
2014,REVENUES,Sales and Service,Teen Council,49181
2014,REVENUES,Sales and Service,Recreational Facility Rentals,302000
2014,REVENUES,Sales and Service,Cultural Arts Rentals,41500
2014,REVENUES,Sales and Service,Rents-Fire,156116
2014,REVENUES,Sales and Service,Hazardous Waste Reimb.,20000
2014,REVENUES,Investment Earnings,Unrealized Gains/Losses,
2014,REVENUES,Investment Earnings,Net Investment Earnings,343588
2014,REVENUES,Miscellaneous,Miscellaneous Revenues,450000
2014,REVENUES,Miscellaneous,Landfill Excise Tax,74475
2014,REVENUES,Miscellaneous,Video Programming Sales Tax,897899
2014,REVENUES,Miscellaneous,PEG Channel Distribution,31971
2014,REVENUES,Miscellaneous,Court Costs,24944
2014,REVENUES,Miscellaneous,Donations / Contributions,159985
2014,REVENUES,Miscellaneous,Recycled Goods,200000
2014,REVENUES,Miscellaneous,Disposable Rebate,400331
2014,REVENUES,Miscellaneous,Police Reports/Fines,
2014,REVENUES,Miscellaneous,Red Light Ticket,
2014,REVENUES,Miscellaneous,Cellular Tower Lease Proceeds,758032
2014,REVENUES,Miscellaneous,Morrisville Reimbursement,
2014,REVENUES,Miscellaneous,NCDOT Traffic Signal Reimbursement,720998
2014,REVENUES,Miscellaneous,NCDOT / Amtrak Depot Lease,66993
2014,EXPENDITURES,General Government,Legislative-Town Council,751906
2014,EXPENDITURES,General Government,Legislative-Boards & Comm.,147039
2014,EXPENDITURES,General Government,Legislative-Town Clerk,701341
2014,EXPENDITURES,General Government,Legislative-Legal,1932322
2014,EXPENDITURES,General Government,Town Manager's Office,1307651
2014,EXPENDITURES,General Government,Sustainability Office,65139
2014,EXPENDITURES,General Government,Budget Office,637473
2014,EXPENDITURES,General Government,Public Information Office,770611
2014,EXPENDITURES,General Government,Finance-Accounting,2705825
2014,EXPENDITURES,General Government,Finance-Purchasing,856866
2014,EXPENDITURES,General Government,Self Insurance (Small Claims),1064788
2014,EXPENDITURES,General Government,Technology Services Capital Leases,1300000
